img_id,iris-error,pupil-error
000008437_Ycrop_Hres_L,5.1725011398753775,0.34411562284928227
000008491_Ycrop_Hres_R,3.3501043072769714,22.691429757211033
000008624_Ycrop_Hres_R,1.9274878274516085,11.896551724137938
000008636_Ycrop_Hres_L,2.2317376835540323,9.315185027647798
000008752_Ycrop_Hres_L,0.8738272644008257,15.9306680602735
000008763_Ycrop_Hres_R,2.4034393651810055,25.61038961038961
000008905_Ycrop_Hres_L,1.9929456327211537,0.11325944502871407
000008962_Ycrop_Hres_L,14.116296863045132,0.12936610608019655
000009122_Ycrop_Hres_L,8.385638965603825,33.01311657121744
000009187_Ycrop_Hres_R,5.008231729140313,18.998245334184077
